Periodo;Impressoes;Cliques;Custo_BRL;Conversoes_atribuidas;CPA_BRL;CTR_pct;CPC_medio_BRL;Taxa_conversao_Google_pct;Valor_conversao_registrado
14-31/03/2026;0;0;0,00;0,00;;;;0,00;0,00
01-30/04/2026;0;0;0,00;0,00;;;;0,00;0,00
01-31/05/2026 (inicio da campanha 24/05);2562;187;389,83;19,50;19,99;7,30;2,08;10,32;14,50
01-30/06/2026;9662;647;753,62;71,67;10,52;6,70;1,16;7,92;133,83
01-31/07/2026 (pausa 17/07);6257;408;543,29;16,17;33,61;6,52;1,33;2,16;84,17
01-31/08/2026;0;0;0,00;0,00;;;;0,00;0,00
01-13/09/2026;0;0;0,00;0,00;;;;0,00;0,00
TOTAL;18481;1242;1686,74;107,34;15,71;6,72;1,36;5,83;232,50
